bad_id,削除済みID
bad_pixiv_id,削除済みPixiv ID
bad_twitter_id,削除済みTwitter ID
bad_tumblr_id,削除済みTumblr ID
bad_deviantart_id,削除済みdeviantArt ID
bad_nicoseiga_id,削除済みニコニコ静画ID
bad_drawr_id,削除済みdrawr ID
bad_nijie_id,削除済みnijie ID
bad_yandere_id,削除済みYandere ID
bad_artstation_id,削除済みArtStation ID
bad_bcy_id,削除済みbcy ID
bad_instagram_id,削除済みInstagram ID
bad_hentai-foundry_id,削除済みHentai Foundry ID
bad_drawcrowd_id,削除済みdrawcrowd ID
bad_tinami_id,削除済みTinami ID
bad_cghub_id,削除済みCGHub ID
bad_google+_id,削除済みGoogle+ ID
bad_poipiku_id,削除済みpoipiku ID
bad_fanbox_id,削除済みpixivFANBOX ID
bad_newgrounds_id,削除済みNewgrounds ID
bad_pawoo_id,削除済みPawoo ID
bad_e-hentai_id,削除済みE-Hentai ID
bad_weibo_id,削除済みWeibo ID
bad_patreon_id,削除済みPatreon ID
bad_link,画像直リンク
bad_anatomy,人体の描き間違い
bad_source,不備のある出典
bad_feet,足の描き間違い
bad_hands,手の描き間違い
bad_proportions,プロポーションの崩れ
bad_perspective,パースの崩れ
bad_end,バッドエンド
bad_leg,脚の描き間違い
bad_arm,腕の描き間違い
bad_neck,首の描き間違い
bad_aspect_ratio,アスペクト比の誤り
bad_reflection,反射の描き間違い
bad_vulva,外陰部の描き間違い
bad_face,顔の描き間違い
bad_ass,尻の描き間違い
bad_gun_anatomy,銃の描き間違い
bad_multiple_views,複数視点の描き間違い
bad_singing,歌が下手
false_smile,作り笑い
wrong_feet,足の描き間違い
wrong_hand,手の描き間違い
bad_boy,悪ガキ
bad_haro,悪いハロ
bad_idea,悪いアイデア
bad_kim,悪いキム
bad_end_precure,バッドエンドプリキュア
bad_end_happy,バッドエンドハッピー
bad_end_march,バッドエンドマーチ
bad_end_peace,バッドエンドピース
bad_end_beauty,バッドエンドビューティ
bad_end_sunny,バッドエンドサニー
holding_rocket_launcher,ロケットランチャーを持っている
holding_staff,杖を持っている
holding_breath,息を止めている
holding_halo,ヘイローを手に持っている
halo,ヘイロー
lying,横たわる
no_shoes,靴なし
barefoot,裸足
covered_nipples,浮き乳首
unworn_shoes,脱いだ靴
aged_down,若返り
puff_of_air,鼻息
kaito_(vocaloid),KAITO（VOCALOID）
meiko_(vocaloid),MEIKO（VOCALOID）
gumi,GUMI
kos-mos,KOS-MOS
elin,エリーン
green_(pokemon),ブルー（ポケモン）
fire_emblem,ファイアーエムブレム
fire_emblem:_three_houses,ファイアーエムブレム 風花雪月
gundam_seed_destiny,機動戦士ガンダムSEED DESTINY
tales_of_berseria,テイルズ オブ ベルセリア
love_live!_sunshine!!,ラブライブ！サンシャイン!!
mahou_shoujo_madoka_magica,魔法少女まどか☆マギカ
mega_man_legends,ロックマンDASH
monster_hunter_rise,モンスターハンターライズ
last_origin,ラストオリジン
the_legend_of_zelda:_breath_of_the_wild,ゼルダの伝説 ブレス オブ ザ ワイルド
smile_precure!,スマイルプリキュア！
suite_precure,スイートプリキュア♪
infinite_stratos,IS 〈インフィニット・ストラトス〉
god_eater,GOD EATER
gundam_hathaway's_flash,機動戦士ガンダム 閃光のハサウェイ
phoenix_wright:_ace_attorney_-_spirit_of_justice,逆転裁判6
the_king_of_fighters_'98,THE KING OF FIGHTERS '98
the_legend_of_zelda:_oracle_of_ages,ゼルダの伝説 ふしぎの木の実 時空の章
fate/prototype:_fragments_of_blue_and_silver,Fate/Prototype 蒼銀のフラグメンツ
hyrule_warriors:_age_of_calamity,ゼルダ無双 厄災の黙示録
the_great_ace_attorney:_adventures,大逆転裁判 -成歩堂龍ノ介の冒險-
pokemon:_the_first_movie_-_mewtwo_strikes_back,劇場版ポケットモンスター ミュウツーの逆襲
zelda_ii:_the_adventure_of_link,リンクの冒険
evangelion:_2.0_you_can_(not)_advance,ヱヴァンゲリヲン新劇場版：破
alchemy_stars,白夜極光
kuroko_no_basuke,黒子のバスケ
fate/grand_order:_first_order,Fate/Grand Order -First Order-
the_last_of_us_2,The Last of Us Part II
pokemon_the_movie_2000:_the_power_of_one,劇場版ポケットモンスター 幻のポケモン ルギア爆誕
force_of_will,FORCE OF WILL
world_is_mine_(vocaloid),ワールドイズマイン（VOCALOID）
soccer_spirits,サッカースピリッツ
witchblade,ウィッチブレイド
witch_craft_works,ウィッチクラフトワークス
tom_clancy's_the_division,ディビジョン
beast_wars,ビーストウォーズ 超生命体トランスフォーマー
beast_wars:_transformers,ビーストウォーズ 超生命体トランスフォーマー
star_vs_the_forces_of_evil,悪魔バスター★スター・バタフライ
foster's_home_for_imaginary_friends,フォスターズ・ホーム
happy_tree_friends,ハッピーツリーフレンズ
wake_up_girls!_stage_no_tenshi,"Wake Up, Girls！ステージの天使"
