!	spoken_exclamation_mark:841 !!:829 surprised:387 ?:367 !?:362 ...:362 spoken_question_mark:358 surprise_kiss:347 spoken_ellipsis:332 ^^^:327 silent_comic:326 comic:326 speech_bubble:303 spoken_interrobang:298 spoken_musical_note:292 notice_lines:286 4koma:277 kissing_cheek:274 3koma:274 emphasis_lines:270
!!	!:829 spoken_exclamation_mark:591 surprised:375 !?:344 ...:330 ^^^:319 ?:306 comic:298 emphasis_lines:294 silent_comic:293 spoken_ellipsis:292 spoken_question_mark:272 speech_bubble:270 wide-eyed:266 4koma:252 thought_bubble:250 flying_sweatdrops:231 anger_vein:225 spoken_heart:215 kiss:212
!?	spoken_interrobang:789 surprised:437 ^^^:400 !:362 comic:362 spoken_question_mark:359 ?:356 spoken_exclamation_mark:349 ...:346 !!:344 spoken_ellipsis:331 emphasis_lines:331 4koma:308 o_o:308 @_@:307 silent_comic:301 speech_bubble:300 ??:298 wide-eyed:290 3koma:286
"don't_say_""lazy"""	top_hat:455 hat:120
#unicus_(idolmaster)	multiple_girls:196
+++	laughing:459 xd:410 4koma:408 ^^^:384 0_0:380 ^_^:378 comic:374 >_<:357 notice_lines:353 flying_sweatdrops:350 silent_comic:343 =_=:339 o_o:335 eighth_note:330 spoken_ellipsis:322 emphasis_lines:319 |_|:318 puff_of_air:317 ...:309 spoken_musical_note:307
+_+	grenade_hair_ornament:520 daruma_doll:509 inkling:474 food_on_head:473 short_jumpsuit:444 cousins:434 clover_hair_ornament:424 sparkling_eyes:420 object_on_head:419 tentacle_hair:381 excited:380 single_ear_cover:378 sushi:358 yellow_pupils:318 suction_cups:304 octoling:298 pink_pupils:296 symbol-shaped_pupils:285 sparkle:285 flipped_hair:267
...	spoken_ellipsis:933 shared_speech_bubble:444 comic:416 speech_bubble:405 spoken_interrobang:380 spoken_exclamation_mark:363 spoken_question_mark:363 !:362 ?:357 4koma:352 !?:346 thought_bubble:343 !!:330 3koma:319 spoken_sweatdrop:311 +++:309 ^^^:308 anger_vein:298 silent_comic:295 spoken_musical_note:292
...?	?:360 comic:277 speech_bubble:243 multiple_girls:125 hair_between_eyes:103 shirt:86 long_sleeves:71 open_mouth:61 blush:59 short_hair:51 simple_background:42 long_hair:35 smile:11
._.	chibi:305 :3:277 comic:231 :d:155 closed_eyes:147 multiple_girls:129 hat:107 holding:83 tail:75 2girls:74 animal_ears:73 smile:70 bow:66 open_mouth:65 short_hair:65 closed_mouth:64 blonde_hair:57 brown_hair:56 shirt:54 simple_background:54
.hack//	short_hair:102 breasts:40 solo:38 1girl:30
.live	virtual_youtuber:376 antenna_hair:325 sleeveless:139 detached_sleeves:132 white_hair:125 collarbone:109 hair_between_eyes:106 hair_bow:105 :d:105 hair_ornament:102 bow:92 blue_eyes:90 very_long_hair:89 twintails:87 animal_ears:86 grey_hair:84 ribbon:84 blush:82 hair_ribbon:81 smile:81
0_0	solid_oval_eyes:449 4koma:438 |_|:426 ^^^:421 o_o:405 =_=:381 +++:380 >_<:374 comic:371 emphasis_lines:371 flying_sweatdrops:343 chibi:327 silent_comic:326 jitome:307 notice_lines:307 surprised:293 ^_^:293 blush_stickers:284 wavy_mouth:284 !?:283
1970s_(style)	retro_artstyle:690 science_fiction:463 mecha:450 robot:412
1980s_(style)	retro_artstyle:845 mecha:515 science_fiction:501 robot:471 mobile_suit:468 space:395 realistic:370 machinery:343 no_humans:322 helmet:258 gun:237 parody:221 military:217 copyright_name:203 headband:200 military_uniform:195 weapon:187 armor:184 english_text:162 multiple_boys:151
1990s_(style)	retro_artstyle:914 subtitled:476 sailor_senshi_uniform:405 forehead_mark:278 mecha:274 science_fiction:270 logo:264 magical_girl:257 copyright_name:254 robot:245 pauldrons:242 circlet:238 lipstick:230 cover:219 spiked_hair:212 headband:211 high_ponytail:202 shoulder_armor:198 parody:193 6+girls:182
1boy	hetero:707 penis:586 sex:536 male_focus:516 solo_focus:490 vaginal:485 censored:482 mosaic_censoring:422 cum:416 pov:412 girl_on_top:405 straddling:403 sex_from_behind:399 paizuri:398 bar_censor:396 cowgirl_position:391 clothed_female_nude_male:391 erection:376 missionary:370 cum_in_pussy:369
1girl	solo:648 breasts:379 looking_at_viewer:359 long_hair:311 blush:263 large_breasts:230 simple_background:215 white_background:199 smile:192 navel:192 cleavage:187 bare_shoulders:180 hetero:177 collarbone:169 thighhighs:169 underwear:166 thighs:164 very_long_hair:164 cowboy_shot:163 panties:162
